EmpID,First Name,Last Name,Status,Position,ImmediateSup,DateFrom,DateTo,TimeIn,TimeOut,HoursWorked,Duration,AttendanceType,AttendanceStat,VLCount,VLUsed,VLBal,SLCount,SLUsed,SLBal
10003,Brad Ii,San Jose,Regular,HR Team Leader,Villanueva Andrea Mae,13-Mar-26,09-Mar-27,8:00:00,17:00:00,8,1,Work,Rejected,15,0,15,15,0,15
10004,Anthony,Salcedo,Regular,Payroll Manager,Alvaro Roderick,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Approved,15,0,15,15,0,15
10005,Alicesss,Romualdez,Regular,HR Rank and File,San Jose Brad,09-Jan-22,10-Jan-22,8:00:00,17:00:00,16,2,Work,Rejected,15,0,15,15,0,15
10006,Rosie ,Atienza,Regular,HR Rank and File,San Jose Brad,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Closed-On Time,15,0,15,15,0,15
10007,Martha,Farala,Regular,Payroll Rank and File,Salcedo Anthony,24-Jan-22,25-Jan-22,8:27:00,17:00:00,8,1,Work,Pending,15,0,15,15,0,15
10008,Leila,Martinez,Regular,Payroll Rank and File,Salcedo Anthony,09-Jan-22,09-Jan-22,8:01:00,17:00:00,8,1,Work,Closed-Late,15,0,15,15,0,15
10009,Allison,San Jose,Regular,Account Rank and File,Mata Christian,09-Jan-22,09-Jan-22,8:05:00,17:00:00,7.92,1,Work,Approved,15,0,15,15,0,15
10010,Cydney ,Rosario,Regular,Account Rank and File,Mata Christian,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Closed-On Time,15,0,15,15,0,15
10011,Josie ,Lopez,Regular,Payroll Team Leader,Salcedo Anthony,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Closed-On Time,15,0,15,15,0,15
10012,Selena ,De Leon,Regular,Account Team Leader,Romualdez Fredrick ,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Closed-On Time,15,0,15,15,0,15
10013,Fredrick ,Romualdez,Regular,Account Manager,Lim Antonio,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Closed-On Time,15,0,15,15,0,15
10014,Mark ,Bautista,Regular,Account Rank and File,Mata Christian,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Approved,15,0,15,15,0,15
10015,Darlene,Lazaro,Probationary,Account Rank and File,Mata Christian,09-Jan-22,09-Jan-22,16:00:00,17:00:00,0,1,Work,Approved,15,0,15,15,0,15
10016,Kolby,Delos Santos,Probationary,Account Rank and File,Mata Christian,09-Jan-22,09-Jan-22,8:28:00,17:00:00,7.53,1,Work,Approved,15,0,15,15,0,15
10017,Vella ,Santos,Probationary,Account Rank and File,Mata Christian,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Closed-Late,15,0,15,15,0,15
10018,Tomas,Del Rosario,Probationary,Account Rank and File,Mata Christian,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Closed-On Time,15,0,15,15,0,15
10019,Jacklyn ,Tolentino,Probationary,Account Rank and File,De Leon Selena,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Closed-On Time,15,0,15,15,0,15
10020,Percival ,Gutierrez,Probationary,Account Rank and File,De Leon Selena,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Approved,15,0,15,15,0,15
10021,Garfield ,Manalaysay,Probationary,Account Rank and File,De Leon Selena,09-Jan-22,09-Jan-22,8:11:00,17:00:00,8,1,Work,Closed-On Time,15,0,15,15,0,15
10022,Lizeth ,Villegas,Probationary,Account Rank and File,De Leon Selena,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Closed-Late,15,0,15,15,0,15
10023,Carol ,Ramos,Probationary,Account Rank and File,De Leon Selena,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Closed-On Time,15,0,15,15,0,15
10024,Emelia ,Maceda,Probationary,Account Rank and File,De Leon Selena,09-Jan-22,09-Jan-22,8:21:00,17:00:00,8,1,Work,Closed-On Time,15,0,15,15,0,15
10025,Delia ,Aguilar,Probationary,Account Rank and File,De Leon Selena,09-Jan-22,09-Jan-22,8:00:00,17:00:00,8,1,Work,Approved,15,0,15,15,0,15
