EmpID,First Name,Last Name,Birthday,Address,Phone Number,Status,Position,Immediate Supervisor
10002,Christian,Mata,21-Oct-87,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu ,783-776-744,Regular,Account Team Leader,Romualdez Fredrick 
10003,Brad Ii,San Jose,15-Mar-96,99 Strosin Hills Poblacion Bislig 5340 Tawi-tawi,797-009-261,Regular,HR Team Leader,Villanueva Andrea Mae
10004,Anthony,Salcedo,14-Sep-93,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate,070-766-300,Regular,Payroll Manager,Alvaro Roderick
10005,Alicesss,Romualdez,14-May-92,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte,983-606-799,Regular,HR Rank and File,Villanueva Andrea Mae
10006,Rosie ,Atienza,24-Sep-48,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,Regular,HR Rank and File,Villanueva Andrea Mae
10007,Martha,Farala,11-Jan-42,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte ,329-034-366,Regular,Payroll Rank and File,Salcedo Anthony
10008,Leila,Martinez,11-Jul-70,37/46 Kulas Roads Maragondon 0962 Quirino ,877-110-749,Regular,Payroll Rank and File,Salcedo Anthony
10009,Allison ,San Jose,24-Jun-86,08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union,179-075-129,Regular,Account Rank and File,Mata Christian
10010,Cydney ,Rosario,06-Oct-96,93A/21 Berge Points Tapaz 2180 Quezon,868-819-912,Regular,Account Rank and File,Mata Christian
10011,Josie,Lopez,14-Jan-87,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro,478-355-427,Regular,Payroll Team Leader,Salcedo Anthony
10012,Selena ,De Leon,20-Feb-75,89A Armstrong Trace Compostela 7874 Maguindanao,975-432-139,Regular,Account Team Leader,Romualdez Fredrick 
10013,Fredrick ,Romualdez,10-Mar-85,22A/52 Lubowitz Meadows Pililla 4895 Zambales,023-079-009,Regular,Account Manager,Lim Antonio
10014,Mark ,Bautista,12-Feb-91,65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino,683-725-348,Regular,Account Rank and File,Mata Christian
10015,Darlene ,Lazaro,25-Nov-85,47A/94 Larkin Plaza Apt. 179 Poblacion Caloocan 2751 Quirino,740-721-558,Probationary,Account Rank and File,Mata Christian
